번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,낚시터전화번호,수면적,주요어종,최대수용인원,수상시설물유형,이용요금,주요포인트,안전시설현황,편익시설현황,주변관광지,관리기관전화번호,관리기관명,데이터기준일자
3,한계리낚시터,저수지,충청북도 청주시 상당구 가덕면 한계1길 170,충청북도 청주시 상당구 가덕면 한계리 294-1,36.606594,127.562466,,139266,붕어+잉어+향어,150,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
4,중리낚시터,저수지,충청북도 청주시 상당구 미원면 쌍이운교로 262,충청북도 청주시 상당구 미원면 중리 316-1,36.669118,127.665454,,129105,붕어+잉어+향어,86,고정형,25000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
5,이정골낚시터,저수지,,충청북도 청주시 상당구 용정동 23-1,36.636061,127.523977,,32129,붕어+잉어+향어,160,고정형,20000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
6,장자골낚시터,저수지,충청북도 청주시 상당구 문의면 남계1길 3,충청북도 청주시 상당구 문의면 남계리 161-2,36.535554,127.503843,,7669,붕어+잉어+향어,80,고정형,25000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
7,척산낚시터,저수지,,충청북도 청주시 서원구 남이면 척산리 176-2,36.559086,127.453531,,21724,붕어+잉어+향어,120,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
8,일신낚시터,평지,충청북도 청주시 청원구 오창읍 일신길 34-27,충청북도 청주시 청원구 오창읍 일신리 302-1,36.756746,127.470374,,2700,붕어+잉어+향어,100,고정형,15000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
9,유호정낚시터,저수지,충청북도 청주시 청원구 내수읍 우산2길 65,충청북도 청주시 청원구 내수읍 우산리 94-2,36.710498,127.412345,,36826,붕어+잉어+향어,182,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
10,부연낚시터,저수지,충청북도 청주시 청원구 북이면 신기초정로 335,충청북도 청주시 청원구 북이면 부연리 280,36.736716,127.573571,,34233,붕어+잉어+향어,150,고정형,20000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
11,초정낚시터,저수지,충청북도 청주시 청원구 내수읍 세교초정로 369,충청북도 청주시 청원구 내수읍 우산리 172,36.714903,127.599766,,8721,붕어+잉어+향어,46,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
12,비상낚시터,저수지,충청북도 청주시 청원구 내수읍 비상길 22-58,충청북도 청주시 청원구 내수읍 비상리 508,36.704427,127.580032,,27772,붕어+잉어+향어,42,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
13,송말낚시터,저수지,충청북도 청주시 흥덕구 지동로75번길 39 (지동동),충청북도 청주시 흥덕구 지동동 186-1,36.642624,127.412433,,7656,붕어+잉어+향어,70,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
14,소로낚시터,저수지,충청북도 청주시 흥덕구 옥산면 소로2길 148,충청북도 청주시 흥덕구 옥산면 소로리 75-1,36.697368,127.401441,,13085,붕어+잉어+향어,180,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
15,호암낚시터,저수지,충청북도 청주시 흥덕구 서부로 988-194 (석곡동),충청북도 청주시 흥덕구 석곡동 317-1,36.606843,127.418748,,9735,붕어+잉어+향어,100,고정형,15000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
16,공북낚시터,저수지,충청북도 청주시 흥덕구 오송읍 정중연제로 651-84,충청북도 청주시 흥덕구 오송읍 공북리 산 58,36.652114,127.312772,,49917,붕어+잉어+향어,350,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
17,성화낚시터,평지,충청북도 청주시 서원구 성화로 43-9 (성화동),충청북도 청주시 서원구 성화동 199-1,36.608749,127.446669,,3305,붕어+잉어+향어,70,고정형,10000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
18,주성낚시터,평지,"충청북도 청주시 청원구 내수읍 도원세교로 124-88, 주성낚시터",충청북도 청주시 청원구 내수읍 덕암리 573 주성낚시터,36.700498,127.536579,,1961,붕어+잉어+향어,50,고정형,15000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
19,옥산낚시터,평지,,충청북도 청주시 흥덕구 신촌동 413-9,36.653982,127.386549,,7519,붕어+잉어+향어,50,고정형,15000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
20,연정낚시터,평지,충청북도 청주시 흥덕구 강내면 연정1길 26,충청북도 청주시 흥덕구 강내면 연정리 91,36.581306,127.380048,,5100,붕어+잉어+향어,80,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
21,매전,저수지,,충청북도 괴산군 감물면 매전리 362,36.81828245,127.8860133,051-365-2782,18,잉어+붕어,50,고정형,15000,,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,없음,043-830-3244,충청북도 괴산군청,2020-11-19
22,신흥,저수지,,충청북도 괴산군 불정면 신흥리 701-3,36.87440983,127.7893156,043-833-4500,11,잉어+붕어,100,"고정형, 부유형",15000,,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,,043-830-3244,충청북도 괴산군청,2020-11-19
23,문광,저수지,,충청북도 괴산군 문광면 양곡리 3-4,36.769021,127.7466789,043-834-4456,19,잉어+붕어,100,"고정형, 부유형",20000,,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,"문광은행나무길, 문광저수지",043-830-3244,충청북도 괴산군청,2020-11-19
24,박달산,저수지,,충청북도 괴산군 장연면 추점리 58,36.84527458,127.9539078,043-832-8791,3.5,잉어+붕어,70,"고정형, 부유형",30000,,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,,043-830-3244,충청북도 괴산군청,2020-11-19
25,추산,저수지,,충청북도 괴산군 불정면 추산리 105,36.90966566,127.8198779,043-833-7866,12,잉어+붕어,50,고정형,15000,,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,,043-830-3244,충청북도 괴산군청,2020-11-19
26,어의곡낚시터,저수지,충청북도 단양군 매포읍 단양로 1317-8,충청북도 단양군 매포읍 응실리 125-1,37,128.3,043-422-5693,9195,잉어+붕어,100,고정형,"30,000원",,구명부환+구명조끼+소화기+구급약품,화장실+분리수거통,,043-420-2734,단양군청,2022-06-16
27,오동낚시터,저수지,충청북도 보은군 회인면 오동4길 89,충청북도 보은군 회인면 오동리 303-4,36.5226,127.5813,,18955,향어,50,고정형,"30,000원",,구멍부환+구명조끼+소화기+구급약품,관리사+화장실+분리수거통,"속리산, 법주사",043-540-3643,충청북도 보은군청,2024-12-17
28,입큰붕어낚시터,기타,충청북도 옥천군 동이면 세산2길 10,충청북도 옥천군 동이면 세산리 678-8,36.2707834,127.6026089,,1393,붕어류,50,좌대,"25,000",,"구명부환,소화기,구급약품 등","화장실,세면실",,043-730-3542,옥천군,2020-12-14
29,비야골낚시터,기타,"충청북도 옥천군 군북면 비야대정로 282-94, 낚시터",충청북도 옥천군 군북면 증약리 319-2 낚시터,36.3532041,127.5250911,043-731-0235,4264,붕어류,50,좌대,20000,,"구명부환,소화기,구급약품 등","세면실,화장실",,043-730-3542,옥천군,2020-12-14
30,오룡낚시터,저수지,"충청북도 옥천군 이원면 백지길 169-1, 주택",충청북도 옥천군 이원면 백지리 793 주택,36.2282367,127.6764916,043-731-1320,3200,"붕어류, 기타내수면어류",45,좌대,25000,,"구명부환,소화기,구급약품 등","연안방갈로6, 휴게실",,043-730-3542,옥천군,2020-12-14
31,의평낚시터,저수지,"충청북도 옥천군 이원면 의평길 76, 주택",충청북도 옥천군 이원면 의평리 540-3 주택,36.2111008,127.6231871,,15966,붕어류,115,좌대. 방갈로,25000,,"구명부환,소화기,구급약품 등","휴게실1, 화장실3,수상좌대80",,043-730-3542,옥천군,2020-12-14
32,백지리낚시터,저수지,충청북도 옥천군 이원면 백지1길 38-12,충청북도 옥천군 이원면 백지리 621-3,36.2341709,127.6762404,,9024,붕어류,121,연안좌대,25000,,"구명부환,소화기,구급약품 등","휴게실1, 화장실3,축양장1",,043-730-3542,옥천군,2020-12-14
33,방아실낚시터,저수지,"충청북도 옥천군 군북면 비야대정로 821, 창고",충청북도 옥천군 군북면 대정리 734 창고,36.3864965,127.532302,,3730,"붕어류, 기타내수면류",76,좌대,25000,,"구명부환,소화기,구급약품 등","화장실2, 세면실1",,043-730-3542,옥천군,2020-12-14
34,은행리낚시터,저수지,충청북도 옥천군 군서면 곤룡로 428-31,충청북도 옥천군 군서면 사양리 134,36.2687414,127.5033369,,3371,붕어류,70,좌대,"20,000",,"구명부환,소화기,구급약품 등","관리사1동, 간이화장실2",,043-730-3542,옥천군,2020-12-14
35,"군서낚시터(구,장령산)",저수지,"충청북도 옥천군 군서면 동평2길 12-24, 주택",충청북도 옥천군 군서면 동평리 74-1 주택,36.2761886,127.5288594,,3272,붕어류,53,연안좌대,"20,000",,"구명부환,소화기,구급약품 등","관리사1동, 화장실2동",,043-730-3542,옥천군,2020-12-14
36,대밖낚시터,기타,충청북도 옥천군 이원면 대흥2길 32,충청북도 옥천군 이원면 강청리 10-29,36.2446326,127.6219535,,891,기타 내수면어류,40,좌대,"30,000",,"구명부환,소화기,구급약품 등","화장실,관리사무실,식당",,043-730-3542,옥천군,2020-12-14
37,중해레저낚시터,기타,충청북도 옥천군 동이면 금강로 17-8,충청북도 옥천군 동이면 지양리 1125-2,36.2954288,127.6135057,,700,"참돔,우럭,기타해면어류",50,좌대,"40,000",,"구명부환,소화기,구급약품 등","화장실, 휴게실",,043-730-3542,옥천군,2020-12-14
38,구수리 낚시터,평지,"충청북도 진천군 백곡면 안구수길 34-28, 구수리낚시터",충청북도 진천군 백곡면 구수리 16-1 구수리낚시터,36.887,127.3606,,2826,붕어,100,없음,낚시터 문의,,"구명부환, 구명조끼, 소화기, 구급약품","매점, 관리실, 화장실, 주차장",,,충청북도 진천군,2024-07-15
39,초평낚시터,저수지,"충청북도 진천군 초평면 평화로 482, 초평호 다목적 광장",충청북도 진천군 초평면 화산리 36번지 일원,36.8103,127.5115,,873908,"메기, 붕어, 베스, 동자개",500,고정형,낚시터 문의,,"구명부환, 구명조끼, 소화기, 구급약품","화장실, 분리수거통","한반도지형, 농다리",,충청북도 진천군,2024-07-15
40,백곡낚시터,저수지,"충청북도 진천군 진천읍 백곡로 1140-14, 초원",충청북도 진천군 진천읍 건송리 299번지 일원,36.871,127.3983,,256173,"메기, 붕어, 베스",200,고정형,낚시터 문의,,"구명부환, 구명조끼, 소화기, 구급약품","화장실, 분리수거통","역사테마공원, 종박물관",,충청북도 진천군,2024-07-15
41,오가리,저수지,,충청북도 괴산군 장연면 오가리 569-8,36.815782,127.951453,043-833-2002,3.42,잉어+붕어,56,"고정형,부유형",30000,,구명부환+구명조끼+소화기+구급약품,화장실+분리수거통,,043-830-3244,충청북도 괴산군청,2022-06-17
42,새골낚시터,평지,충청북도 보은군 탄부면 평각1길 62,충청북도 보은군 탄부면 평각리 398,36.4663,127.7541,,2535,붕어류,30,고정형,"30,000원",,구멍부환+구명조끼+소화기+구급약품,관리사+화장실+쓰레기통,"속리산,법주사",043-540-3643,충청북도 보은군,2024-12-17
43,향수사계절 실내낚시터,기타,충청북도 옥천군 옥천읍 양수로6길 72-26,충청북도 옥천군 옥천읍 양수리 산 46,36.289716,127.548671,,1300,기타 내수면 어류,40,좌대,"30,000원",,"구명부환, 드로우백, 소화기","관리실, 화장실",,043-730-3452,옥천군,2013-03-13
44,옥녀봉 낚시터,평지,충청북도 진천군 이월면 은행정1길 14-15,충청북도 진천군 이월면 사곡리 122,,,,6688,붕어,100,해당없음,,,"구명조기, 구명부환, 소화기",화장실,,,진천군,2024-07-15
45,생극낚시터,기타,충청북도 음성군 생극면 오신로 399-16,,37.025839,127.623314,,0.1,붕어,70,해당없음,"55,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
46,제수리낚시터,저수지,충청북도 음성군 금왕읍 금일로284번길 100-4,,37.010817,127.554459,,1.8,붕어,112,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
47,용대리낚시터,저수지,충청북도 음성군 삼성면 덕호로 360,,37.044544,127.514314,,4.11,붕어,84,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
48,감곡낚시터,저수지,충청북도 음성군 감곡면 감노로 67-18,,37.076491,127.627197,,27.4,붕어,70,고정형,"20,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
49,상곡낚시터,저수지,충청북도 음성군 삼성면 점골길 51,,37.013504,127.450467,,2.5,붕어,50,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
50,삼성지낚시터,저수지,충청북도 음성군 삼성면 금일로 1064-6,,37.026576,127.484692,,22.4,붕어,70,"고정형, 수상형","25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
51,중부낚시터,저수지,충청북도 음성군 삼성면 용성로5번길 86-24,,37.001845,127.47583,,5,붕어,70,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
52,맹동낚시터,저수지,충청북도 음성군 맹동면 군자길 1492,,36.894167,127.571429,,98,붕어,75,"고정형, 수상형","25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
53,마이제낚시터,저수지,충청북도 음성군 삼성면 덕정로65번길 102,,37.027938,127.494112,,12.3,붕어,242,"고정형, 수상형","25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
54,주봉낚시터,저수지,충청북도 음성군 원남면 주봉로 141,,36.866529,127.675445,,13.6,붕어,139,"고정형, 수상형","30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,반기문생가,,충청북도 음성군청,2023-04-20
55,사계지낚시터,저수지,충청북도 음성군 금왕읍 보습길 77,,37.020711,127.551423,,5.2,붕어,70,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
56,내곡낚시터,저수지,충청북도 음성군 금왕읍 마루택길29번길 63,,37.01744,127.53839,,10.5,붕어,90,고정형,"25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
57,백야낚시터,저수지,충청북도 음성군 금왕읍 백야로 320,,39.967806,127.603211,,44.6,붕어,70,"고정형, 수상형","30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
58,백야낚시터,저수지,충청북도 음성군 금왕읍 백야로 320,,39.967806,127.603211,,44.6,붕어,70,"고정형, 수상형",30000,관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
59,내곡낚시터,저수지,충청북도 음성군 금왕읍 마루택길29번길 63,,37.01744,127.53839,,10.5,붕어,70,"고정형, 수상형",25000,관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
60,복상골낚시터,평지,충청북도 음성군 감곡면 사곡길 279,,37.095607,127.669018,,0.3,붕어,50,고정형,"40,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
61,생극낚시터,기타,충청북도 음성군 생극면 오신로 399-16,,37.025839,127.623314,,0.1,장어,70,해당없음,"55,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
62,봉낚시터,저수지,충청북도 음성군 소이면 충갑길 196,,36.88901,127.74706,,4.3,붕어,60,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,반기문생가,,충청북도 음성군청,2023-04-20
63,거일낚시터,저수지,충청북도 음성군 감곡면 거일길 156,,37.108528,127.657346,,0.3,붕어,45,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
64,오궁낚시터,저수지,충청북도 음성군 감곡면 오궁리 124-2,,37.111463,127.672462,,2.2,붕어,70,해당없음,"25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
65,큰골낚시터,저수지,충청북도 음성군 감곡면 대학길190번길 59,,37.138054,127.648323,,4.7,붕어,70,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
66,차평낚시터,저수지,충청북도 음성군 생극면 차생로 618-20,,37.049326,127.622166,,10.7,붕어,70,"고정형, 수상형","30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
67,제수리낚시터,저수지,충청북도 음성군 금왕읍 금일로284번길 100-4,,37.010817,127.554459,,1.8,붕어,112,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
68,용대리낚시터,저수지,충청북도 음성군 삼성면 덕호로 360,,37.044544,127.514314,,4.11,붕어,84,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
69,감곡낚시터,저수지,충청북도 음성군 감곡면 감노로 67-18,,37.076491,127.627197,,27.4,붕어,70,고정형,"20,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
70,봉낚시터,저수지,충청북도 음성군 소이면 충갑길 196,,36.88901,127.74706,,4.3,붕어,60,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,반기문생가,,충청북도 음성군청,2023-04-20
71,거일낚시터,저수지,충청북도 음성군 감곡면 거일길 156,,37.108528,127.657346,,0.3,붕어,45,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
72,오궁낚시터,저수지,충청북도 음성군 감곡면 오궁리 124-2,,37.111463,127.672462,,2.2,붕어,70,해당없음,"25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
73,큰골낚시터,저수지,충청북도 음성군 감곡면 대학길190번길 59,,37.138054,127.648323,,4.7,붕어,70,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
74,차평낚시터,저수지,충청북도 음성군 생극면 차생로 618-20,,37.049326,127.622166,,10.7,붕어,70,"고정형, 수상형","30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
75,상곡낚시터,저수지,충청북도 음성군 삼성면 점골길 51,,37.013504,127.450467,,2.5,붕어,50,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
76,삼성지낚시터,저수지,충청북도 음성군 삼성면 금일로 1064-6,,37.026576,127.484692,,22.4,붕어,58,"고정형, 수상형","25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
77,중부낚시터,저수지,충청북도 음성군 삼성면 용성로5번길 86-24,,37.001845,127.47583,,5,붕어,118,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
78,맹동낚시터,저수지,충청북도 음성군 맹동면 군자길 1492,,36.894167,127.571429,,98,붕어,75,"고정형, 수상형","25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
79,마이제낚시터,저수지,충청북도 음성군 삼성면 덕정로65번길 102,,37.027938,127.494112,,12.3,붕어,242,"고정형, 수상형","25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
80,주봉낚시터,저수지,충청북도 음성군 원남면 주봉로 141,,36.866529,127.675445,,13.6,붕어,139,"고정형, 수상형","30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,반기문생가,,충청북도 음성군청,2023-04-20
81,사계지낚시터,저수지,충청북도 음성군 금왕읍 보습길 77,,37.020711,127.551423,,5.2,붕어,70,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
82,내곡낚시터,저수지,충청북도 음성군 금왕읍 마루택길29번길 63,,37.01744,127.53839,,10.5,붕어,90,고정형,"25,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
83,백야낚시터,저수지,충청북도 음성군 금왕읍 백야로 320,,39.967806,127.603211,,44.6,붕어,70,"고정형, 수상형","30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,한독의약박물관,,충청북도 음성군청,2023-04-20
84,극동낚시터,저수지,충청북도 음성군 감곡면 성주로 362-17,,37.14878,127.64593,,1.66,붕어,100,고정형,"30,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
85,복상골낚시터,평지,충청북도 음성군 감곡면 사곡길 279,,37.095607,127.669018,,0.3,붕어,50,고정형,"40,000원",관리실 문의,구명부환*소화기*구급약 등,화장실*쓰레기통 등,"철박물관, 매괴성당",,충청북도 음성군청,2023-04-20
86,국사봉낚시터,평지,충청북도 제천시 봉양읍 구곡로 173-1,충청북도 제천시 봉양읍 구곡리 331-2,37.0717077,128.108623,,3387,향어+붕어+잉어,15,고정형,40000,,구명부환+구명조끼+소화기,화장실+세면소,,,제천시,2024-08-08
87,은성낚시공원,평지,"충청북도 제천시 봉양읍 논골로 242, (삼거리)",충청북도 제천시 봉양읍 삼거리 1135-16번지 외 7필지,37.1056988,128.130098,,3064,향어+붕어+잉어,130,고정형,15000,,구명부환+구명조끼+소화기,화장실+세면소,,,제천시,2024-08-08
88,가마실낚시터,평지,,충청북도 제천시 자작동 13,37.121795,128.297684,,1398,향어+붕어+잉어,40,고정형,(캠핑장이용)0,,구명부환+구명조끼+소화기,화장실+세면소,,,제천시,2024-08-08
89,명지낚시터,평지,충청북도 제천시 무지동길56,충청북도 제천시 명지동 336,37.104747,128.192859,,1260,향어+붕어+잉어,69,고정형,30000,,구명부환+구명조끼+소화기,화장실+세면소,,,제천시,2024-08-08
